scheme_code,scheme_name,amc,category_latest,category_first,plan,option,isin_growth_or_payout,isin_reinvest,first_nav_date,last_nav_date,nav_count,status
118907,HSBC Liquid Fund - Growth,HSBC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Regular Plan,Growth,INF336L01BL1,,2022-01-02,2022-12-30,305,active
118908,HSBC Liquid Fund - Weekly IDCW,HSBC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Regular Plan,Weekly IDCW,,INF336L01BR8,2022-01-02,2022-12-30,305,active
118909,HSBC Liquid Fund - Institutional Daily IDCW,HSBC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Regular Plan,Institutional Daily IDCW,,INF336L01BS6,2022-01-02,2022-12-30,305,active
118921,DSP Medium Term Fund - Direct Plan - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Direct Plan,Monthly IDCW,INF740K01NA4,INF740K01NC0,2022-01-03,2022-12-31,244,active
118922,DSP Medium Term Fund - Direct Plan - IDCW,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Direct Plan,IDCW,INF740K01NB2,INF740K01ND8,2022-01-03,2022-12-31,244,active
118924,DSP Medium Term Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Medium Term Fund ),Direct Plan,Growth,INF740K01MZ3,,2022-01-03,2022-12-31,244,active
118928,HDFC Long Term Advantage Plan - IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),,,INF179K01WV2,INF179K01WW0,2022-01-03,2022-01-14,10,closed_or_merged
118929,HDFC Long Term Advantage Plan - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - ELSS ),Open Ended Schemes ( Equity Scheme - ELSS ),,,INF179K01WX8,,2022-01-03,2022-01-14,10,closed_or_merged
118930,HDFC ARBITRAGE FUND - Quarterly IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Arbitrage Fund ),Open Ended Schemes ( Hybrid Scheme - Arbitrage Fund ),,,INF179K01UV6,INF179K01UW4,2022-01-03,2022-12-30,247,active
118931,HDFC ARBITRAGE FUND - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Arbitrage Fund ),Open Ended Schemes ( Hybrid Scheme - Arbitrage Fund ),,,INF179K01UU8,,2022-01-03,2022-12-30,247,active
